Entity,Code,Year,Carbon dioxide emissions from buildings,Carbon dioxide emissions from industry,Carbon dioxide emissions from land use change and forestry,Carbon dioxide emissions from other fuel combustion,Carbon dioxide emissions from transport,Carbon dioxide emissions from manufacturing and construction,Fugitive emissions of carbon dioxide from energy production,Carbon dioxide emissions from electricity and heat
World,OWID_WRL,1990,2597070000,493630000,1770160000,753430000,4610530000,3955530000,264480020,8609380000
World,OWID_WRL,1991,2622220000,507470000,1770160000,754229950,4648130000,3878290000,280050000,8750111000
World,OWID_WRL,1992,2514270000,528520030,1770160000,670550000,4753049600,3745440000,269260000,8908960000
World,OWID_WRL,1993,2572450000,551290000,1770600000,685380030,4794480000,3695919900,275810000,8956490000
World,OWID_WRL,1994,2491060000,588410000,1770270100,656960000,4890290000,3712409900,283240000,9054540000
World,OWID_WRL,1995,2565379800,622180000,1775870000,608310000,5025110000,3938990000,295770000,9243450000
World,OWID_WRL,1996,2633030100,635030000,1636160000,537200000,5230480000,3829040000,314520000,9599679000
World,OWID_WRL,1997,2610050000,660770050,2326000000,584840000,5306430000,3854790100,311890020,9873849000
World,OWID_WRL,1998,2460680000,658299970,1770010000,561460030,5430200300,3854500000,302820000,10097590000
World,OWID_WRL,1999,2531110100,690480000,1673680000,570510000,5590919700,3696840200,294510000,10156049000
World,OWID_WRL,2000,2523649800,721460030,1621540100,512539970,5770750000,3872500000,313670000,10565701000
World,OWID_WRL,2001,2548719900,753870000,1344160000,523979970,5800200000,3895320000,303540000,10818810000
World,OWID_WRL,2002,2547920000,781860000,1717420000,525120000,5952160300,3890090000,287630000,11004730000
World,OWID_WRL,2003,2632090000,860000000,1445670000,543669950,6077070000,4075800000,323989980,11620799000
World,OWID_WRL,2004,2672960000,898539970,1718350000,578349950,6359120000,4506900000,308340000,12007640000
World,OWID_WRL,2005,2672780000,963850000,1512820000,598810000,6499480000,4924030000,325070000,12387790000
World,OWID_WRL,2006,2641860000,1051280000,1806750000,608310000,6651230000,5167870000,305820000,12881809000
World,OWID_WRL,2007,2640350200,1129120000,1379660000,610490000,6858690000,5441380000,291800000,13447160000
World,OWID_WRL,2008,2705660000,1143290000,1369500000,617430000,6862070000,5555030000,278000000,13470820000
World,OWID_WRL,2009,2654659800,1175400100,1672060000,605430000,6722490400,5537520000,281610000,13260930000
World,OWID_WRL,2010,2709190000,1254830000,1382220000,620299970,7009670000,6079920000,261799980,14160170000
World,OWID_WRL,2011,2656220000,1349130000,306490000,605730000,7124379600,6310180400,267180000,14766910000
World,OWID_WRL,2012,2599740000,1384080000,316570020,628480000,7182680000,6331650000,269230000,15064231000
World,OWID_WRL,2013,2711929900,1442790000,298850020,635930000,7370300000,6358370300,264070000,15336509000
World,OWID_WRL,2014,2659180000,1499370000,563229950,631099970,7494290000,6424910300,273040000,15279481000
World,OWID_WRL,2015,2685930000,1444370000,586909950,630210050,7728980000,6286109700,276600000,15017981000
World,OWID_WRL,2016,2726920000,1482760100,1181890000,623450000,7876050000,6130390000,279690020,15026400000
World,OWID_WRL,2017,2791330000,1504380000,1148270100,625530050,8075510000,6067399700,264940000,15358760000
World,OWID_WRL,2018,2827030000,1566530000,1294930000,611179970,8268840000,6206350300,272840000,15807790000
World,OWID_WRL,2019,2768840200,1616720000,1471729900,584560000,8266929700,6210310000,282829980,15747060000
World,OWID_WRL,2020,2709140000,1632640000,1172689900,566789950,7098320000,6180450300,268340000,15110750000
